event_id,effective_date,event_type,from_unit,to_unit,share,source_id,status,note
andaman_2006_bifurcation_north_middle,2006-08-18,district_bifurcation,pc2001__35__01,pc2011__35__639,,census2011_andaman_reorganization,accepted,North & Middle Andaman was formed from the former Andamans district in the 2006 reorganization. The edge records parentage only; it does not imply an allocation share.
andaman_2006_bifurcation_south,2006-08-18,district_bifurcation,pc2001__35__01,pc2011__35__640,,census2011_andaman_reorganization,accepted,South Andaman was formed from the former Andamans district in the 2006 reorganization. The edge records parentage only; it does not imply an allocation share.
nicobars_2001_2011_continuity,2011-03-01,documented_continuity,pc2001__35__02,pc2011__35__638,,census2011_andaman_reorganization,accepted,The Census-2011 Nicobars district continues the Census-2001 Nicobars district. This identity edge avoids relying on incomplete settlement-key coverage.
telangana_2016_532_699,2016-10-11,district_reorganization,pc2011__28__532,lgd_district__699,,telangana_2016_parent_district_review,accepted,Kumuram Bheem Asifabad is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__532. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_532_684,2016-10-11,district_reorganization,pc2011__28__532,lgd_district__684,,telangana_2016_parent_district_review,accepted,Mancherial is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__532. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_532_680,2016-10-11,district_reorganization,pc2011__28__532,lgd_district__680,,telangana_2016_parent_district_review,accepted,Nirmal is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__532. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_533_685,2016-10-11,district_reorganization,pc2011__28__533,lgd_district__685,,telangana_2016_parent_district_review,accepted,Kamareddy is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__533. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_534_681,2016-10-11,district_reorganization,pc2011__28__534,lgd_district__681,,telangana_2016_parent_district_review,accepted,Jagitial is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__534. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_534_682,2016-10-11,district_reorganization,pc2011__28__534,lgd_district__682,,telangana_2016_parent_district_review,accepted,Peddapalli is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__534. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_534_683,2016-10-11,district_reorganization,pc2011__28__534,lgd_district__683,,telangana_2016_parent_district_review,accepted,Rajanna Sircilla is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__534. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_534_508,2016-10-11,district_reorganization,pc2011__28__534,lgd_district__508,,telangana_2016_parent_district_review,accepted,Karimnagar is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__534. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_535_691,2016-10-11,district_reorganization,pc2011__28__535,lgd_district__691,,telangana_2016_parent_district_review,accepted,Sangareddy is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__535. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_535_692,2016-10-11,district_reorganization,pc2011__28__535,lgd_district__692,,telangana_2016_parent_district_review,accepted,Siddipet is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__535. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_535_513,2016-10-11,district_reorganization,pc2011__28__535,lgd_district__513,,telangana_2016_parent_district_review,accepted,Medak is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__535. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_537_700,2016-10-11,district_reorganization,pc2011__28__537,lgd_district__700,,telangana_2016_parent_district_review,accepted,Medchal-Malkajgiri is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__537. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_537_518,2016-10-11,district_reorganization,pc2011__28__537,lgd_district__518,,telangana_2016_parent_district_review,accepted,Ranga Reddy is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__537. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_538_695,2016-10-11,district_reorganization,pc2011__28__538,lgd_district__695,,telangana_2016_parent_district_review,accepted,Jogulamba Gadwal is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__538. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_538_693,2016-10-11,district_reorganization,pc2011__28__538,lgd_district__693,,telangana_2016_parent_district_review,accepted,Wanaparthy is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__538. The edge records ancestry only and does not assign a territorial or population share.
telangana_2016_538_694,2016-10-11,district_reorganization,pc2011__28__538,lgd_district__694,,telangana_2016_parent_district_review,accepted,Nagarkurnool is recorded as a single-parent continuation or descendant of Census-2011 district pc2011__28__538. The edge records ancestry only and does not assign a territorial or population share.
