"variable","category","n","share"
"SEX","Female",67990,0.5345
"SEX","Male",59217,0.4655
"RELIGION","Hindu",95598,0.7515
"RELIGION","Muslim",19072,0.1499
"RELIGION","Jain",7608,0.0598
"RELIGION","Christian",2274,0.0179
"RELIGION","Buddhist",1398,0.011
"RELIGION","Sikh",959,0.0075
"RELIGION","Zoroastrian",295,0.0023
"RELIGION","Other",3,0
"SOCIAL_GROUP","Other Backward Class",50189,0.3945
"SOCIAL_GROUP","Other",35383,0.2782
"SOCIAL_GROUP","Scheduled Caste",23627,0.1857
"SOCIAL_GROUP","Scheduled Tribe",18008,0.1416
"RELATION_TO_HEAD","2",102946,0.8093
"RELATION_TO_HEAD","6",16323,0.1283
"RELATION_TO_HEAD","8",3789,0.0298
"RELATION_TO_HEAD","5",1735,0.0136
"RELATION_TO_HEAD","1",923,0.0073
"RELATION_TO_HEAD","3",679,0.0053
"RELATION_TO_HEAD","4",508,0.004
"RELATION_TO_HEAD","9",244,0.0019
"RELATION_TO_HEAD","7",60,5e-04
"SECTOR","Rural",85891,0.6752
"SECTOR","Urban",41316,0.3248
